subject,trial,dominant_leg,mot_file,c3d_file,emg_file,output_csv,start_grf_idx,start_time_sec,end_mocap_idx,status
S08,4,R,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Processed_Normalized_EMG\S08_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S08_stw4_cropped_rise_to_hs_emg.csv,4150,4.15,1180,success
S08,5,R,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Processed_Normalized_EMG\S08_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S08_stw5_cropped_rise_to_hs_emg.csv,4343,4.343,1253,success
S09,1,R,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Processed_Normalized_EMG\S09_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S09_stw1_cropped_rise_to_hs_emg.csv,3507,3.507,1034,success
S09,2,R,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Processed_Normalized_EMG\S09_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S09_stw2_cropped_rise_to_hs_emg.csv,3749,3.749,1098,success
S09,3,R,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Processed_Normalized_EMG\S09_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S09_stw3_cropped_rise_to_hs_emg.csv,2739,2.739,974,success
S09,4,R,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Processed_Normalized_EMG\S09_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S09_stw4_cropped_rise_to_hs_emg.csv,3343,3.343,1088,success
S09,5,R,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Processed_Normalized_EMG\S09_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S09\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S09_stw5_cropped_rise_to_hs_emg.csv,2888,2.888,994,success
S10,1,R,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Processed_Normalized_EMG\S10_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S10_stw1_cropped_rise_to_hs_emg.csv,3411,3.411,1093,success
S10,2,R,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Processed_Normalized_EMG\S10_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S10_stw2_cropped_rise_to_hs_emg.csv,4998,4.998,1410,success
S10,3,R,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Processed_Normalized_EMG\S10_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S10\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S10_stw3_cropped_rise_to_hs_emg.csv,3381,3.381,1087,success
